individual	pedigree	fullSampleName	family
MullicaQueen	Howes x Searles x LeMunyon	MullicaQueen:250382074	CNJ02
MullicaQueen	Howes x Searles x LeMunyon	MullicaQueen:250382074	CNJ04
CrimsonQueen	StevensxBenLear	CrimsonQueen:250382073	CNJ02
Stevens	BenLearxPottersFavorite	Stevens:250382075	CNJ04
GH1	NA	GH1:250382389	GRYG
BG95	NA	BG95:250353371	GRYG
CNJ02_1_1	CQxMQ	CNJ02_1_1:250382053	CNJ02
CNJ02_1_10	CQxMQ	CNJ02_1_10:250382062	CNJ02
CNJ02_1_100	CQxMQ	CNJ02_1_100:250382190	CNJ02
CNJ02_1_101	CQxMQ	CNJ02_1_101:250382191	CNJ02
CNJ02_1_102	CQxMQ	CNJ02_1_102:250382192	CNJ02
CNJ02_1_103	CQxMQ	CNJ02_1_103:250382193	CNJ02
CNJ02_1_104	CQxMQ	CNJ02_1_104:250382194	CNJ02
CNJ02_1_105	CQxMQ	CNJ02_1_105:250382195	CNJ02
CNJ02_1_106	CQxMQ	CNJ02_1_106:250382196	CNJ02
CNJ02_1_107	CQxMQ	CNJ02_1_107:250382197	CNJ02
CNJ02_1_108	CQxMQ	CNJ02_1_108:250382198	CNJ02
CNJ02_1_109	CQxMQ	CNJ02_1_109:250382199	CNJ02
CNJ02_1_11	CQxMQ	CNJ02_1_11:250382063	CNJ02
CNJ02_1_110	CQxMQ	CNJ02_1_110:250382200	CNJ02
CNJ02_1_111	CQxMQ	CNJ02_1_111:250382201	CNJ02
CNJ02_1_112	CQxMQ	CNJ02_1_112:250382202	CNJ02
CNJ02_1_113	CQxMQ	CNJ02_1_113:250382203	CNJ02
CNJ02_1_114	CQxMQ	CNJ02_1_114:250382204	CNJ02
CNJ02_1_115	CQxMQ	CNJ02_1_115:250382205	CNJ02
CNJ02_1_116	CQxMQ	CNJ02_1_116:250382206	CNJ02
CNJ02_1_117	CQxMQ	CNJ02_1_117:250382207	CNJ02
CNJ02_1_118	CQxMQ	CNJ02_1_118:250382208	CNJ02
CNJ02_1_119	CQxMQ	CNJ02_1_119:250382209	CNJ02
CNJ02_1_12	CQxMQ	CNJ02_1_12:250382064	CNJ02
CNJ02_1_120	CQxMQ	CNJ02_1_120:250382210	CNJ02
CNJ02_1_121	CQxMQ	CNJ02_1_121:250382211	CNJ02
CNJ02_1_122	CQxMQ	CNJ02_1_122:250382212	CNJ02
CNJ02_1_123	CQxMQ	CNJ02_1_123:250382213	CNJ02
CNJ02_1_124	CQxMQ	CNJ02_1_124:250382214	CNJ02
CNJ02_1_125	CQxMQ	CNJ02_1_125:250382215	CNJ02
CNJ02_1_126	CQxMQ	CNJ02_1_126:250382216	CNJ02
CNJ02_1_127	CQxMQ	CNJ02_1_127:250382217	CNJ02
CNJ02_1_128	CQxMQ	CNJ02_1_128:250382218	CNJ02
CNJ02_1_129	CQxMQ	CNJ02_1_129:250382219	CNJ02
CNJ02_1_13	CQxMQ	CNJ02_1_13:250382065	CNJ02
CNJ02_1_130	CQxMQ	CNJ02_1_130:250382220	CNJ02
CNJ02_1_131	CQxMQ	CNJ02_1_131:250382221	CNJ02
CNJ02_1_132	CQxMQ	CNJ02_1_132:250382222	CNJ02
CNJ02_1_133	CQxMQ	CNJ02_1_133:250382223	CNJ02
CNJ02_1_134	CQxMQ	CNJ02_1_134:250382224	CNJ02
CNJ02_1_135	CQxMQ	CNJ02_1_135:250382225	CNJ02
CNJ02_1_136	CQxMQ	CNJ02_1_136:250382226	CNJ02
CNJ02_1_137	CQxMQ	CNJ02_1_137:250382227	CNJ02
CNJ02_1_138	CQxMQ	CNJ02_1_138:250382228	CNJ02
CNJ02_1_139	CQxMQ	CNJ02_1_139:250382229	CNJ02
CNJ02_1_14	CQxMQ	CNJ02_1_14:250382066	CNJ02
CNJ02_1_140	CQxMQ	CNJ02_1_140:250382230	CNJ02
CNJ02_1_141	CQxMQ	CNJ02_1_141:250382231	CNJ02
CNJ02_1_142	CQxMQ	CNJ02_1_142:250382232	CNJ02
CNJ02_1_143	CQxMQ	CNJ02_1_143:250382233	CNJ02
CNJ02_1_144	CQxMQ	CNJ02_1_144:250382234	CNJ02
CNJ02_1_145	CQxMQ	CNJ02_1_145:250382235	CNJ02
CNJ02_1_146	CQxMQ	CNJ02_1_146:250382236	CNJ02
CNJ02_1_147	CQxMQ	CNJ02_1_147:250382237	CNJ02
CNJ02_1_148	CQxMQ	CNJ02_1_148:250382238	CNJ02
CNJ02_1_149	CQxMQ	CNJ02_1_149:250382239	CNJ02
CNJ02_1_15	CQxMQ	CNJ02_1_15:250382067	CNJ02
