original_sample_name,new_sample_name,original_sample_name_individual
AM274,CNJ95_20_20,
AM337,CNJ95_20_20,
YellowBell,NJ00_1_3,
AM076,NJ00_1_3,
AM269,NJS98_23,
CrimsonQueen,NJS98_23,
AM096,AM096,US93-34
AM095,AM096,US88-30
AM013,AM096,US93-201
AM012,AM096,US93-200
AM263,AM263,US88-51
AM262,AM263,#35
Howes,Howes,HOWES
AM111,Howes,US93-24
AM110,Howes,US88-65
AM109,Howes,US88-17
AM108,AM108,US88-110
AM107,AM108,US88-70
AM106,AM108,US88-1
Lemunyon,Lemunyon,LEMUNYON
AM113,Lemunyon,US93-37
AM015,Lemunyon,US93-221
Searles,Searles,SEARLES
AM118,Searles,US88-33
Bergman,Bergman,BERGMAN
AM254,Bergman,US88-58
AM064,AM064,US92-33
AM062,AM064,US92-19
AM009,AM009,US93-53
AM003,AM009,US92-64
AM094,AM094,US92-37
AM094,AM094,US92-50
AM093,AM094,US88-94
AM104,AM104,US94-25
AM102,AM104,US88-18
AM010,AM010,US93-54
AM007,AM010,US93-23
AM260,AM260,US89-9
AM259,AM260,US88-32
